的	7922684
一	3050722
是	2615490
不	2237915
了	2128528
在	2009181
人	1867999
有	1782004
我	1690048
他	1595761
这	1552042
个	1199580
们	1169853
中	1104541
来	1079469
上	1069575
大	1054064
为	1039036
和	1010465
国	985350
地	969349
到	965035
以	910627
说	874977
时	833532
要	811011
就	771108
出	755256
会	734888
可	723108
也	710259
你	705205
对	703632
生	682031
能	665358
而	649239
子	640640
那	638538
得	630688
于	630524
着	626326
下	621185
自	611687
之	609003
年	601887
过	589925
发	572904
后	570764
作	542791
里	537795
用	535480
道	534695
行	531848
所	523028
然	511026
家	509790
种	503344
事	499172
成	499007
方	492763
多	481689
经	481338
么	477969
去	476270
法	466816
学	464261
如	449036
都	439568
同	437611
现	433960
当	429274
没	428146
动	426839
面	425180
起	424933
看	424616
定	422538
天	419884
分	419382
还	415855
进	412166
好	411866
小	410987
部	403066
其	403028
些	400528
主	399693
样	398149
理	398087
心	392228
她	388612
本	388118
前	381431
开	377012
但	374459
因	371612
只	370059
从	369958
想	368819
实	368494
日	363763
军	362526
者	360974
意	360232
无	359265
力	359136
它	346173
与	345532
长	342148
把	340730
机	339823
十	338954
民	335796
第	325780
公	318626
此	318534
已	318143
工	317532
使	316273
情	312900
明	309873
性	309844
知	306384
全	305248
三	304272
又	302933
关	302473
点	300800
正	296810
业	296169
外	295645
将	295586
两	294600
高	293542
间	292227
由	292199
问	288237
很	284252
最	283689
重	282843
并	281616
物	281146
手	280442
应	280384
战	278776
向	276986
头	274911
文	274222
体	273792
政	269878
美	269452
相	269125
见	269080
被	268905
利	268813
什	267869
二	267506
等	266296
产	265164
或	260786
新	253921
己	250894
制	250754
身	249725
果	246831
加	243648
西	243619
斯	240900
月	240566
话	240067
合	239277
回	239243
特	239091
代	231734
内	231331
信	230248
表	226768
化	224729
老	223050
给	217815
世	214990
位	214983
次	214857
度	214376
门	212769
任	212485
常	212309
先	210628
海	209302
通	209046
教	208875
儿	207827
原	207579
东	206238
声	206083
提	205159
立	204985
及	202671
比	200645
员	200217
解	200090
水	198933
名	198481
真	198416
论	197165
处	194237
走	193619
义	193507
各	193435
入	192433
几	192355
口	191936
认	191866
条	191280
平	191267
系	190769
气	190687
题	189921
活	189876
尔	189785
更	187378
别	186634
打	186146
女	185188
变	185121
四	184874
神	184554
总	184470
何	184335
电	183834
数	183312
安	183210
少	183018
报	182411
才	181725
结	181674
反	181385
受	180928
目	180827
太	180490
量	180008
再	179607
感	178383
建	178289
务	176085
做	175580
接	175473
必	174963
场	173632
件	172895
计	171949
管	170746
期	169806
市	169522
直	169439
德	168917
资	168890
命	168358
山	168142
金	167912
指	166865
克	166044
许	166034
统	165820
区	164775
保	164424
至	163582
队	162938
形	162049
社	159527
便	159479
空	158539
决	157959
治	156904
展	156759
马	155772
科	155750
司	155229
五	154316
基	153462
眼	152079
书	151357
非	149915
则	149042
听	148988
白	148728
却	148679
界	148438
达	147907
光	147639
放	147600
强	146665
即	146459
像	145291
且	144597
难	144597
权	144506
思	144503
王	143948
象	143453
完	143120
设	142742
式	142292
色	142231
路	141812
记	139501
南	139078
品	138528
住	138503
告	138285
类	138280
求	138216
据	137990
程	136962
北	136939
边	136277
死	136194
张	136087
该	136053
交	135727
规	134528
万	134220
取	134102
拉	134051
格	133986
望	133145
觉	132041
术	131634
领	130993
共	128824
确	128417
传	128186
师	128086
观	127796
清	127716
今	126624
切	126391
院	126115
让	125660
识	125220
候	124865
带	124619
导	124463
争	124420
运	123903
笑	122902
飞	122290
风	121803
步	121267
改	121023
收	120897
根	120778
干	120564
造	120496
言	120308
联	120301
持	119990
组	119734
每	119594
济	119161
车	118824
亲	118451
极	117736
林	117675
服	116961
快	116923
办	116904
议	116810
往	116539
元	116488
英	116193
士	115704
证	115610
近	115441
失	115346
转	115087
夫	114784
令	114570
准	113877
布	113652
始	112987
怎	112294
呢	112185
存	110970
未	110491
远	110455
叫	110131
台	109362
单	109359
影	108862
具	108811
罗	108376
字	108218
爱	108167
击	107513
流	107397
备	107114
兵	106982
连	106814
调	106379
深	105924
商	105406
算	105293
质	104560
团	104151
集	104019
百	103938
需	103832
价	103634
花	103367
党	103165
华	103158
城	102833
石	102149
级	102018
整	100910
府	100771
离	100744
况	100680
亚	100251
请	100226
技	99790
际	99412
约	99148
示	98963
复	98822
病	98692
息	98447
究	98377
线	98261
似	98057
官	97897
火	97760
断	97235
精	97135
满	96954
支	96814
视	96326
消	96263
越	95657
器	95444
容	95407
照	95020
须	94903
九	94580
增	93869
研	93761
写	93710
称	93638
企	93453
八	92700
功	92052
吗	91639
包	91240
片	90559
史	90469
委	90263
乎	90127
查	90039
轻	89852
易	89730
早	89623
曾	89328
除	89272
农	88412
找	88247
装	88143
广	87900
显	87825
吧	87536
阿	87159
李	86593
标	86324
谈	86089
吃	85976
图	85957
念	85953
六	85830
引	85740
历	85487
首	85036
医	84620
局	84587
突	84474
专	84361
费	84359
号	84335
尽	84270
另	83702
周	83366
较	82870
注	82869
语	82805
仅	82729
考	82688
落	82641
青	82619
随	82599
选	82498
列	82418
武	81863
红	81852
响	81702
虽	81097
推	80933
